campaign_id,date,impressions,clicks,spend_usd,device
CMP002,2024-07-11,31897,1752,1308.9,mobile
CMP004,2024-07-14,23915,360,262.57,tablet
CMP001,2024-07-14,26250,1140,354.17,mobile
CMP003,2024-07-14,49480,2026,445.8,mobile
CMP002,2024-07-15,31449,644,217.12,mobile
CMP004,2024-07-15,47348,2380,1778.27,tablet
CMP001,2024-07-16,23925,1177,889.37,mobile
CMP004,2024-07-17,59290,714,392.39,tablet
CMP003,2024-07-17,52092,1329,1003.29,mobile
CMP003,2024-07-18,9600,118,104.78,tablet
CMP004,2024-07-18,32285,434,275.88,mobile
CMP002,2024-07-18,48675,2310,1950.39,mobile
CMP001,2024-07-19,34941,1165,811.78,tablet
CMP002,2024-07-19,18649,1096,830.85,desktop
CMP003,2024-07-20,58363,796,366.82,tablet
CMP005,2024-07-20,39015,1469,599.08,tablet
CMP001,2024-07-20,50824,3009,673.45,desktop
CMP002,2024-07-21,0,0,0,na
CMP003,2024-07-21,45727,901,605.71,desktop
CMP004,2024-07-21,49653,2709,1340.43,mobile
CMP003,2024-07-22,34191,759,487.31,mobile
CMP005,2024-07-22,44070,1169,791.58,desktop
CMP002,2024-07-22,51903,2761,2093.01,desktop
CMP002,2024-07-23,19,0,0,mobile
CMP003,2024-07-23,57215,3033,2469.16,desktop
CMP005,2024-07-24,28679,458,252.77,tablet
CMP003,2024-07-24,22341,419,363.89,tablet
CMP004,2024-07-24,36540,687,371.88,tablet
CMP001,2024-07-25,20556,401,195.07,desktop
CMP005,2024-07-25,20133,394,277.36,desktop
CMP004,2024-07-25,25700,1048,880.02,desktop
CMP001,2024-07-26,20025,479,161.59,mobile
CMP003,2024-07-26,38444,480,161.71,mobile
CMP004,2024-07-26,38465,1222,853.29,desktop
CMP005,2024-07-26,55486,2190,1577.14,tablet
CMP002,2024-07-27,38847,820,625.2,desktop
CMP005,2024-07-27,26546,1566,1212.82,desktop
CMP001,2024-07-28,11315,482,267.72,mobile
CMP003,2024-07-28,37914,631,314.54,tablet
CMP004,2024-07-28,29122,1531,1183.54,mobile
CMP002,2024-07-29,22609,252,-74.3,desktop
CMP004,2024-07-29,26279,1421,473.05,desktop
CMP001,2024-07-30,14112,794,624.5,mobile
CMP003,2024-07-30,44629,1775,1530.99,desktop
CMP002,2024-07-31,26258,1397,1222.61,desktop
CMP001,2024-08-01,34634,1187,368.34,desktop
CMP002,2024-08-01,31012,1304,586.49,tablet
CMP004,2024-08-01,45345,1837,797.7,mobile
CMP001,2024-08-02,11842,215,32.6,desktop
CMP005,2024-08-02,43005,702,129.26,mobile
CMP002,2024-08-02,29702,1691,399.93,desktop
CMP005,2024-08-03,44264,1089,934.44,tablet
CMP002,2024-08-04,19702,768,681.73,mobile
CMP001,2024-08-04,35722,1601,1117.3,tablet
CMP005,2024-08-04,57334,1980,1592.99,tablet
CMP003,2024-08-04,48150,2443,2000.85,desktop
CMP001,2024-08-05,51376,2359,627.72,desktop
CMP003,2024-08-06,37495,860,288.47,tablet
CMP005,2024-08-06,26634,891,427.99,mobile
CMP004,2024-08-06,31253,1559,631.79,tablet
CMP001,2024-08-06,22267,1301,760.29,tablet
CMP004,2024-08-07,53952,2913,1651.21,tablet
CMP001,2024-08-08,11994,568,109.55,tablet
CMP005,2024-08-08,11367,257,204.65,mobile
CMP003,2024-08-08,26173,1263,683.25,tablet
CMP003,2024-08-09,23679,561,116.75,desktop
CMP004,2024-08-09,20521,293,202.19,desktop
